movie,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
9c3b6145-8ceb-4eba-b70c-4a067f9e5ac5,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
b3fc80a5-8396-438a-9d7a-ad46ea49982a,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bcd620d3-92c8-40b0-adc1-05446c78a69e,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0e463028-409a-48cc-a180-098c3b4d873b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
853c54ea-e6bc-4432-8fac-9a8f92130363,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
ed09696f-f10a-4202-9261-a0f55c53f531,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
cf93b079-7bde-4288-9df2-4cc8442ee7be,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5a865974-c57b-4758-aef5-af39a937781a,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fc35966b-bd61-4612-9b7f-9513b544a321,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3583fc72-68e6-46b7-a239-e01ca0fada1c,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
96af1311-1498-4efd-8e85-0573c3d4a1fe,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6bcbb344-8d9f-4147-8b5f-6b920dc2ec22,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6019ead8-d85b-4f48-ae0b-6904a99238dc,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
a832b01d-eaa2-4cc5-82c9-665da1c6020e,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
04a2832d-a104-4802-8a20-7765de1a2ed2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7944ee6c-8534-4930-aa94-c7d9636e6b92,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8dea58eb-5ab1-4b7f-922c-5bd55f251f64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
972457c0-34ca-4bcc-9876-df686ff1f170,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ab9bf373-d261-4342-84e8-57deb08f49dd,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b7739aab-9aeb-48b6-9ef5-8a9e2ae0911b,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ac6e5687-2fd1-49c9-a5ea-975d59e5c5a8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f31a925-002a-45b5-a79f-16f2a8aa8a0c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0802493a-5876-42b0-9e30-ed2cabbf79ae,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d75d25a0-2cad-41b2-af21-f5f05631bfb8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1149d87e-569f-4219-b23d-3cabe398b2db,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
c560c387-35b6-4a20-804f-46911f63fafd,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
